???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ???????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,???????,??(? / ? / ?),???,"45,345 ","15,466,973 ","1,879,239,904 ",121.5 
201407,???????,??(? / ? / ?),???,"8,727 ","26,727,507 ","4,207,884,731 ",157.4 
201407,???????,??(? / ? / ?),???,63 ,"3,443,171 ","432,210,873 ",125.5 
201407,???????,??(? / ? / ?),???,"1,339 ","148,940,765 ","13,208,128,297 ",88.7 
201407,???????,??(? / ? / ?),???,"7,950 ","5,490,967 ","263,588,202 ",48.0 
201407,???????,??(? / ? / ?),???,"6,513 ","1,556,300 ","192,737,037 ",123.8 
201407,???????,??(? / ? / ?),? ?,"8,234 ","2,318,889 ","136,485,837 ",58.9 
201408,???????,??(? / ? / ?),???,"45,509 ","17,851,604 ","2,346,563,343 ",131.4 
201408,???????,??(? / ? / ?),???,"8,785 ","28,771,651 ","4,466,868,768 ",155.3 
201408,???????,??(? / ? / ?),???,64 ,"3,279,297 ","408,768,909 ",124.7 
201408,???????,??(? / ? / ?),???,"1,346 ","136,125,533 ","16,127,796,249 ",118.5 
201408,???????,??(? / ? / ?),???,"8,008 ","6,580,372 ","312,947,108 ",47.6 
201408,???????,??(? / ? / ?),???,"6,570 ","1,587,549 ","191,613,456 ",120.7 
201408,???????,??(? / ? / ?),? ?,"8,207 ","2,102,666 ","126,078,026 ",60.0 
201409,???????,??(? / ? / ?),???,"45,648 ","17,319,416 ","2,108,379,181 ",121.7 
201409,???????,??(? / ? / ?),???,"8,897 ","26,339,702 ","3,800,388,671 ",144.3 
201409,???????,??(? / ? / ?),???,66 ,"3,328,673 ","362,009,071 ",108.8 
201409,???????,??(? / ? / ?),???,"1,350 ","132,776,213 ","13,206,266,843 ",99.5 
201409,???????,??(? / ? / ?),???,"8,036 ","6,216,048 ","296,257,971 ",47.7 
201409,???????,??(? / ? / ?),???,"6,610 ","1,703,553 ","198,211,085 ",116.4 
201409,???????,??(? / ? / ?),? ?,"8,204 ","2,459,478 ","141,707,329 ",57.6 
201410,???????,??(? / ? / ?),???,"45,792 ","16,731,493 ","1,884,019,607 ",112.6 
201410,???????,??(? / ? / ?),???,"9,041 ","24,509,834 ","3,175,953,217 ",129.6 
201410,???????,??(? / ? / ?),???,66 ,"3,163,741 ","303,942,759 ",96.1 
201410,???????,??(? / ? / ?),???,"1,355 ","142,189,172 ","13,311,455,884 ",93.6 
201410,???????,??(? / ? / ?),???,"8,043 ","4,768,998 ","240,077,659 ",50.3 
201410,???????,??(? / ? / ?),???,"6,677 ","1,848,366 ","207,277,654 ",112.1 
201410,???????,??(? / ? / ?),? ?,"8,205 ","4,142,470 ","230,047,314 ",55.5 
201411,???????,??(? / ? / ?),???,"46,118 ","18,939,749 ","2,256,813,043 ",119.2 
201411,???????,??(? / ? / ?),???,"9,219 ","27,793,645 ","3,817,413,403 ",137.3 
201411,???????,??(? / ? / ?),???,66 ,"3,769,628 ","387,526,444 ",102.8 
201411,???????,??(? / ? / ?),???,"1,361 ","139,893,210 ","16,028,870,668 ",114.6 
201411,???????,??(? / ? / ?),???,"12,928 ","8,082,268 ","322,689,946 ",39.9 
201411,???????,??(? / ? / ?),???,"6,741 ","2,067,439 ","223,469,153 ",108.1 
201411,???????,??(? / ? / ?),? ?,"8,204 ","9,668,735 ","626,652,830 ",64.8 
201412,???????,??(? / ? / ?),???,"46,267 ","20,510,144 ","2,590,455,484 ",126.3 
201412,???????,??(? / ? / ?),???,"9,373 ","35,733,359 ","5,029,311,975 ",140.7 
201412,???????,??(? / ? / ?),???,67 ,"5,256,371 ","546,446,553 ",104.0 
201412,???????,??(? / ? / ?),???,"1,369 ","144,351,228 ","16,988,437,480 ",117.7 
201412,???????,??(? / ? / ?),???,"8,088 ","5,264,210 ","269,119,572 ",51.1 
201412,???????,??(? / ? / ?),???,"6,792 ","2,086,650 ","220,680,613 ",105.8 
201412,???????,??(? / ? / ?),? ?,"8,209 ","14,914,488 ","1,125,511,289 ",75.5 
??,??,??,??,"479,452","1,226,071,525","134,200,303,438",109.5
,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,???????,???,???,"6,513 ","1,556,300 ","192,737,037 ",123.8 
201407,???????,???,???,63 ,"3,443,171 ","432,210,873 ",125.5 
201407,???????,???,???,"7,950 ","5,490,967 ","263,588,202 ",48 
201407,???????,???,???,"1,339 ","148,940,765 ","13,208,128,297 ",88.7 
201407,???????,???,? ?,"8,234 ","2,318,889 ","136,485,837 ",58.9 
201407,???????,???,???,"8,727 ","26,727,507 ","4,207,884,731 ",157.4 
201407,???????,???,???,"45,345 ","15,466,973 ","1,879,239,904 ",121.5 
201407,???????,???,??,"78,171 ","203,944,572 ","20,320,274,881 ",99.6 
201408,???????,???,???,"6,570 ","1,587,549 ","191,613,456 ",120.7 
201408,???????,???,???,64 ,"3,279,297 ","408,768,909 ",124.7 
201408,???????,???,???,"8,008 ","6,580,372 ","312,947,108 ",47.6 
201408,???????,???,???,"1,346 ","136,125,533 ","16,127,796,249 ",118.5 
201408,???????,???,? ?,"8,207 ","2,102,666 ","126,078,026 ",60 
201408,???????,???,???,"8,785 ","28,771,651 ","4,466,868,768 ",155.3 
201408,???????,???,???,"45,509 ","17,851,604 ","2,346,563,343 ",131.4 
201408,???????,???,??,"78,489 ","196,298,672 ","23,980,635,859 ",122.2 
201409,???????,???,???,"6,610 ","1,703,553 ","198,211,085 ",116.4 
201409,???????,???,???,66 ,"3,328,673 ","362,009,071 ",108.8 
201409,???????,???,???,"8,036 ","6,216,048 ","296,257,971 ",47.7 
201409,???????,???,???,"1,350 ","132,776,213 ","13,206,266,843 ",99.5 
201409,???????,???,? ?,"8,204 ","2,459,478 ","141,707,329 ",57.6 
201409,???????,???,???,"8,897 ","26,339,702 ","3,800,388,671 ",144.3 
201409,???????,???,???,"45,648 ","17,319,416 ","2,108,379,181 ",121.7 
201409,???????,???,??,"78,811 ","190,143,083 ","20,113,220,151 ",105.8 
201410,???????,???,???,"6,677 ","1,848,366 ","207,277,654 ",112.1 
201410,???????,???,???,66 ,"3,163,741 ","303,942,759 ",96.1 
201410,???????,???,???,"8,043 ","4,768,998 ","240,077,659 ",50.3 
201410,???????,???,???,"1,355 ","142,189,172 ","13,311,455,884 ",93.6 
201410,???????,???,? ?,"8,205 ","4,142,470 ","230,047,314 ",55.5 
201410,???????,???,???,"9,041 ","24,509,834 ","3,175,953,217 ",129.6 
201410,???????,???,???,"45,792 ","16,731,493 ","1,884,019,607 ",112.6 
201410,???????,???,??,"79,179 ","197,354,074 ","19,352,774,094 ",98.1 
201411,???????,???,???,"6,741 ","2,067,439 ","223,469,153 ",108.1 
201411,???????,???,???,66 ,"3,769,628 ","387,526,444 ",102.8 
201411,???????,???,???,"12,928 ","8,082,268 ","322,689,946 ",39.9 
201411,???????,???,???,"1,361 ","139,893,210 ","16,028,870,668 ",114.6 
201411,???????,???,? ?,"8,204 ","9,668,735 ","626,652,830 ",64.8 
